genesinput	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	Tregs	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCA1	562.5516506	492.9800625	175.2535919	115.7649122	191.822788	99.1725931	132.0652012	132.2780104	120.8728215	179.4134667	108.9553756	84.47641322	553.8789442	1688.312972	806.8208593	3282.260737	178.9096988	139.10135	1577.622536	1441.834828	4471.964523	1690.260475
ABCA12	75.6389405	53.0939184	41.1594865	31.8037091	84.71006751	29.01225918	22.64621637	65.29264421	83.15410594	83.13801507	30.63227685	37.49965748	23.36949453	31.91944192	9.097003233	29.68963566	27.20459296	24.04546217	44.0690271	28.58738446	43.06038943	30.94731111
ABCA2	122.498036	123.3980726	126.3468697	336.2015247	149.9335491	276.7233705	193.2963626	253.7390252	157.8124898	463.8082767	284.7552978	230.6005022	107.6910816	138.4514589	114.9678358	206.6923484	183.6758572	105.7131656	125.3641848	132.5432468	156.3084611	222.0569468
ABCA3	48.39924584	58.7227343	63.26734336	94.20657141	37.52604385	119.7154067	70.43409515	41.46606342	29.5051376	61.60894452	115.119972	91.28169833	26.2031933	29.25887035	22.37926529	88.81589691	30.23547316	81.54030841	182.1446389	146.6718457	20.74745808	20.90373791
ABCA4	38.77174192	28.75434177	33.79354549	18.14422894	20.33283198	27.50039747	23.13786208	29.38087813	99.0958681	59.40721214	28.64570433	24.70060058	33.66945018	37.57073138	41.46606342	23.97041806	29.77182949	33.71210413	23.45444346	26.94108598	34.96673531	52.89749123
ABCA5	167.5614193	166.7367929	204.0068731	357.0150343	625.3824814	268.9448331	146.4028045	357.2447156	257.1495573	344.7230467	348.1250542	321.3036298	65.50917174	139.4250687	332.1328139	230.3753478	268.9347003	714.0568865	213.2693486	152.6968437	878.7573385	201.2019988
ABCA6	187.9865712	153.6968573	96.4515763	76.06306256	53.54674843	33.76856098	50.33543999	41.49199965	42.5177761	124.3962945	87.32927985	47.87522011	72.01038631	75.05878126	60.12655552	72.99488239	801.2833064	366.0083558	56.76142576	52.53553415	24.48501792	176.8864136
ABCA7	354.6174376	375.2264402	236.3005486	370.5024945	695.1979974	421.8107829	102.8733446	656.9831726	584.6374885	394.9433136	368.007776	182.5359056	357.8768688	149.9773478	201.120539	276.5361577	206.7582967	230.4503225	246.7051881	256.724153	514.2186656	916.3700634
ABCA8	67.24739132	62.04955078	57.54759913	32.49650556	14.23027027	18.33363903	6.646385161	30.55297649	54.10623179	44.44752919	24.59295983	18.65300514	19.32759492	17.07437519	7.618893885	5.889997967	8.240034902	2.868629624	31.29742805	22.87159	32.35389779	13.80308244
ABCB1	476.5346047	258.6869067	123.9520803	745.6500146	276.5361577	378.7293568	270.1989078	133.1694262	64.27562176	1234.050996	1212.337055	530.4856724	61.71194396	56.36966713	86.37087188	64.15269493	101.2673183	78.03484746	210.3503442	270.5663927	36.37722918	185.4650535
ABCB11	21.32839265	17.60126171	53.41302407	40.3602573	49.39845952	22.19126923	18.60026599	51.77354793	11.49975618	33.79414484	28.99476889	13.95930187	19.64518974	15.99389106	29.71165699	18.82453343	23.51773036	23.34867314	25.20460337	48.71454028	40.25590469	23.31160199
ABCB4	555.7134486	10.744235	7.225818568	4.311280198	4.605860048	7.406441697	8.043975587	6.469992914	7.833081747	9.312294624	13.68283856	4.556712661	6.202495893	7.951360487	27.55771004	121.4322774	114.6367466	4.872184408	4.72798535	34.11365858	15.03053048	14.90688846
ABCB6	244.0325805	172.8552023	402.9880185	111.3684316	337.7804063	149.8210195	280.6334531	215.3059512	460.5576664	158.5754209	77.39322879	207.3430052	126.2535603	278.8548393	182.3460997	190.5951228	201.4948524	222.9571143	107.9435094	190.1000611	150.9057281	141.7024929
ABCB7	77.11890893	199.5588228	81.15817364	406.6074038	752.8776853	452.7497666	369.1723277	636.9181821	1640.833677	517.0467746	332.9698507	273.9554758	482.9371694	358.9007867	607.5635394	678.5428618	321.5010889	248.4870489	482.5670964	402.0204845	404.5040993	16.70976543
ABCB8	8.59290329	5.971578103	7.558789028	18.64453213	44.03135056	29.35940998	33.95721509	39.01461867	45.63247626	8.277518826	11.66125494	17.12848233	12.75561568	11.35052009	60.37056445	75.1137056	17.70431737	10.57244744	17.17178345	14.5787003	8.933847102	11.24708868
ABCB9	15.6035437	22.09478724	653.3923279	24.22372293	35.67150717	30.04819243	38.45542286	17.60479495	46.07365684	19.71572161	21.8637228	16.39614273	20.30942573	56.25188749	29.38087813	40.39026017	123.9933055	23.38460308	53.46675672	23.61574571	29.78644179	33.67914681
ABCC1	864.5746609	1084.482492	669.4912011	702.9934511	627.4194448	810.5722661	712.8096313	407.085984	1185.225369	688.4402201	422.3843181	466.7980913	728.4996422	1644.420403	1374.919459	909.1373118	1529.518094	1440.162841	1741.73657	1588.977373	1266.742902	698.7848902
ABCC10	796.4092007	647.9951145	760.4564682	702.1188683	686.5198536	798.8973361	538.8823724	990.8095292	576.3208365	1083.762143	619.5271649	440.3426977	575.3441893	578.9729991	690.2281441	484.8875213	659.3073835	726.8522814	1044.105326	736.4654329	645.7929303	418.6123718
ABCC2	22.8422122	23.92087663	82.7123624	20.51165427	97.09045136	36.80214677	27.34338712	21.28411618	111.8729157	54.75126089	15.96732361	14.57759054	19.50438404	22.88112866	88.10035668	19.46675205	23.00079322	15.74681167	48.37349463	27.6701306	35.08519174	53.98981044
ABCC3	22.39669263	23.3710665	20.64868683	18.59674828	26.51832445	22.31868643	21.08132558	20.42361011	21.34711273	21.94773167	25.63257738	16.74750012	217.0281924	1658.160923	123.1354579	1456.28449	1860.771582	713.0825509	25.04799647	75.19891352	30.74040699	21.56058937
ABCC4	66.04578922	215.1209091	379.5472318	220.2204121	129.3188315	166.0002205	206.614297	155.1990442	77.45770434	255.0155621	148.1403045	216.9990465	82.51166733	214.270126	1775.242858	349.6666297	471.5066592	635.2906702	3865.718506	2109.72041	152.4848504	57.19983239
ABCC5	869.3672886	696.2339339	142.2394754	668.2235465	609.8045414	743.9941067	369.770593	465.9771775	600.913963	882.7774804	586.4123031	447.2492382	596.6777534	647.48266	283.9189285	2267.491457	540.6422281	399.2780519	759.4921156	748.8587294	749.0237854	1163.735982
ABCC6	7.702553769	11.36181733	7.558789028	13.40508597	25.53563855	14.76826697	13.60956204	18.96597542	16.20772939	12.43833337	12.04905609	12.83845224	22.50497873	12.29022982	12.48395633	8.662329031	12.78977843	13.15028563	15.38055332	17.69284663	17.72459824	12.70772906
ABCC8	11.73957449	11.57673225	11.78627809	14.76033038	17.59036247	12.87247129	14.66023075	21.63834323	11.66908889	18.33536581	18.36519317	15.56608274	18.07036307	12.64284158	14.20413975	10.6390921	15.68872979	13.51351247	23.61375686	25.90578024	18.77335701	19.15540616
ABCC9	145.5963793	132.6156326	106.1826707	61.86854118	73.54573007	90.46652946	49.30707005	58.64250526	48.25560232	121.2109649	49.34705937	46.22439588	59.02097355	53.91111994	59.70898915	45.9547747	57.09221191	58.44208301	50.53217559	43.02446714	81.09903166	113.8835961
ABCD1	1360.528567	625.9015416	1015.351605	377.3136251	201.4645711	672.1564298	317.6856228	306.2764477	424.2586499	1206.136532	229.6170361	364.9536705	672.2689116	801.3650121	464.1789801	756.8437064	667.8629544	748.5041679	210.5975876	444.6154177	680.3452876	783.7682827
ABCD2	111.2439257	119.9950048	68.96258392	176.8752984	92.58804135	162.9353619	148.2319802	96.70669536	123.3310416	61.0366834	37.96136544	46.60566809	35.27314276	28.97135872	26.49834722	17.63461273	40.2961028	64.87600089	47.7035956	47.41104161	94.34704079	66.79137365
ABCD3	135.275358	166.4534336	196.2993608	725.5107108	676.2146267	609.8045414	1240.221607	557.8198203	154.0846666	791.0213379	870.2681878	1091.691817	803.6752669	916.7210764	207.5685271	523.6828523	956.0334984	252.2845435	1206.75639	658.130629	408.289838	107.031097
ABCD4	280.4246365	263.965989	189.1431751	181.0420993	278.4319646	201.5996553	167.1845312	210.4700584	243.0572368	234.1570639	287.9196252	203.7910498	191.7992517	203.7854955	262.2510917	242.7773484	186.1732088	174.1624685	241.7004932	201.3418955	183.1318448	177.4501578
ABCE1	427.4149932	529.4072601	556.1392858	1024.473391	723.0245323	906.7372524	2389.171966	737.8599039	407.739852	786.1966414	493.7548342	897.9278181	584.7105856	1048.353703	814.2486746	531.0770941	849.524696	487.5932945	1376.268621	1289.569224	143.507862	135.6856937
ABCF1	1631.804333	1514.653153	1484.478664	1934.338401	1538.295344	1818.10167	2175.756551	1963.310817	1269.719428	1796.697131	1948.71223	2477.299313	1234.440353	1173.596348	2185.14918	1306.144047	1346.950575	1719.373749	1428.043343	1695.195521	2521.959559	827.9882034
ABCF2	163.2979736	186.6223262	142.2394754	355.8096981	340.7572639	300.3328878	379.0007007	251.6431325	161.3315298	318.9867153	282.7980052	344.8042336	255.9605036	200.3550387	291.3221307	204.5100438	258.8431167	253.9067189	227.747317	234.7117007	84.96751699	80.04288942
ABCF3	576.4874937	491.3533665	623.6831893	517.1354062	582.8272145	470.3584708	318.3729691	550.8245677	311.0447916	538.7604839	351.2771868	368.7814351	407.4546998	461.5594132	451.2705255	399.4746192	426.1076729	473.9749869	342.8190795	409.3351639	529.737743	567.353113
ABCG1	282.820848	164.0930607	68.21596782	266.9442616	267.9179363	279.2024287	167.8644908	468.6692892	325.545607	344.7901458	156.7968846	105.4403669	143.2340803	443.788547	269.9126854	449.8358705	294.4634658	754.2582373	99.95909568	59.78916722	885.501272	740.9351275
ABCG2	375.8177525	259.1614512	1134.275964	221.2809423	154.573264	178.0412751	166.0002205	145.0112733	131.6565849	275.8400319	141.8394921	185.7947236	152.1891066	452.4615206	88.61808798	118.6838801	313.5143129	198.3057414	133.4868884	139.221335	82.86993336	317.745832
ABCG4	631.9650259	431.5398749	370.1582078	213.6039668	163.1759157	186.204435	157.2362134	122.498036	361.3064507	455.7128085	171.3540965	176.0165797	183.3320989	167.6789465	162.5267903	140.2723987	189.8908616	221.451212	186.4752402	118.5717891	114.2265877	488.4288343
ABCG5	9.753147704	9.581601651	8.369699084	21.73888864	53.95513652	10.07084824	5.822857646	75.33357769	24.87229275	8.870624957	4.531899492	5.678333668	9.141115425	17.27928899	21.94024148	6.818438323	20.48866422	17.05091158	51.34204635	32.27431387	77.0622567	17.04643618
ABHD10	1586.772706	1122.891856	1004.906636	837.7008957	729.5882039	750.2836947	1212.601925	555.0810844	1288.954371	1370.581448	600.8345673	670.5655041	828.5237982	1343.886096	397.3852424	850.211608	1268.702825	694.2491084	1209.699501	779.8161534	868.2544926	720.0527498
ABHD11	688.2305726	551.9668224	889.2668298	295.7378153	380.6357197	362.4446046	350.1625034	305.9455684	569.6285893	438.2526684	381.0331863	341.3861217	484.6559722	331.6629491	267.8282602	479.3435018	378.2507125	325.786767	448.9320095	311.9190733	453.1369774	556.3331095
ABHD14A	448.5650969	402.4278146	1915.068793	914.1267823	845.8491856	793.1685984	305.1063873	1023.571872	420.7601759	784.7784863	428.4418182	258.7537338	285.5762056	236.7078121	172.9091698	451.9192827	296.7336089	198.0964843	437.1486996	569.8147416	239.3850629	368.5260958
ABHD2	317.7910043	282.0968957	542.3345673	348.6507959	181.1627863	365.3486293	270.684059	192.0869901	178.3751278	75.64188498	797.4300642	921.6872565	782.4353386	1847.253754	134.9186388	267.8282602	1158.781045	322.0262405	190.6674588	185.3638935	1074.049248	1344.503083
ABHD3	203.7910498	259.1614475	621.2146086	1218.564954	469.5055219	1920.668117	1501.149391	1585.595892	144.5873484	1294.060129	732.5014254	1458.458203	1531.119225	1319.846644	515.0585097	668.1491007	1400.53932	593.5346155	593.9619255	512.8636391	479.7374194	1887.050023
ABHD4	1656.099829	1153.150128	1190.400365	553.4517661	288.5598412	556.9519319	366.604604	491.7104207	865.0883717	696.2049058	722.8688036	538.48972	660.8833823	1073.729652	535.2016414	534.9913763	1289.306516	1247.880123	790.4538254	783.792769	813.0002335	1671.920316
ABHD5	246.4179331	303.5883609	183.0663448	131.4363757	150.3144874	128.3491067	330.3015371	196.5823414	208.7592596	294.6569423	147.3569565	261.031925	539.7652709	442.0160342	350.1625034	194.4625997	327.2500245	277.9336704	291.8680967	346.1389283	1121.398013	1701.514332
ABHD6	73.10888641	78.94571717	49.97014577	116.7829968	117.1032294	76.81339366	130.1691507	196.9409648	227.2025074	226.2633234	145.1906234	101.9515223	205.4950658	487.9331268	106.4982845	818.4743673	454.4202464	221.3057905	455.222836	414.4345498	142.7739293	41.38093553
ABHD8	15.20961988	17.31219594	17.14221086	28.55421055	20.72030953	9.566652569	73.54573007	50.43122136	15.43794652	69.78742655	88.53688403	57.48717135	152.5520929	170.661476	93.62634731	180.9009574	126.0835113	88.92431527	53.78881152	48.59775953	16.11423353	30.8336665
ABI1	1719.293187	2141.526448	1490.980233	1894.104525	1168.229708	1772.000761	1642.829992	2235.802026	981.5876684	1448.941081	1915.15743	1450.822854	1515.191239	1619.57486	2956.681556	1597.105013	1853.889992	2719.464971	1061.498023	830.7284794	1386.041914	1747.939784
ABI2	1194.148027	927.9076392	669.7447161	387.1959835	302.6983717	502.8719259	438.4665527	509.2425289	558.3571862	474.5641637	361.7714337	343.4394084	353.5830498	368.0940305	297.3418668	296.8267605	431.3685476	388.3084907	270.888826	271.8756472	285.7463113	682.1094745
ABL1	963.2767736	725.2310349	495.5020676	752.8593998	521.4894594	576.2877306	485.0594246	466.6250947	783.725247	837.3196339	871.1935718	641.8482849	595.4795997	635.844688	555.7134486	1231.701055	912.3988514	536.7629041	758.6356023	894.2815877	372.249408	357.3515427
ABL2	438.3209992	440.604024	317.4588351	170.7269684	175.6975199	232.9717495	204.1398779	198.5520941	131.6805935	186.8846008	168.0925953	168.4091537	246.7587086	261.0320975	312.812165	233.0654722	326.4880977	314.1821113	186.0425846	310.4427032	321.8811045	276.8543914
ABLIM1	1563.242424	1777.938711	191.4808544	2352.489353	5166.415514	2180.375076	710.1327161	1406.467856	1938.506518	994.7432892	1263.097774	260.7593067	128.1248079	114.4123423	111.4231016	112.6050172	115.7709432	248.0540922	92.78371042	80.98755507	183.497824	316.1509209
ABLIM3	27.97705381	26.4363194	45.53332862	20.21407725	19.52549057	21.85946198	21.92224101	19.75629479	14.33338519	37.0472041	15.89541887	13.07042258	11.47216202	14.13329526	12.59017099	25.42880139	14.25045391	30.41565477	47.41155039	16.04599714	8.791550738	22.64494434
ABO	13.72935017	11.66967819	16.74750012	18.0094489	18.65300514	15.65307516	12.67206304	12.15100757	8.264106801	33.81526114	19.80026488	15.86814667	19.10771148	20.49640288	28.48597962	14.31729413	18.89402124	27.18916337	11.34033881	16.85831104	13.85389143	40.92804549
ABP1	161.7872422	155.2479702	142.9919478	64.47304428	112.1013724	95.79830849	63.16533501	81.61941788	39.93653941	55.33798934	81.19370013	80.20078747	90.68203675	118.5057916	132.3282146	151.3173183	144.4925186	967.9676451	77.81420824	76.40967826	363.8961349	192.0631092
ABR	469.5055219	320.6441514	202.4028642	349.3641384	356.2137024	562.5516506	368.6319956	445.1871618	999.68914	509.8353412	438.7710691	421.3760715	610.379825	989.8960286	772.4623926	1151.460639	1215.517415	734.6320122	256.9802429	216.9219888	595.1536346	830.0803838
ABT1	114.1436358	409.7305618	223.3319002	609.2122763	780.6570037	712.8096313	721.7136506	482.7709118	1036.321713	485.5650101	841.4074408	846.6140012	565.6544896	374.7466884	644.7277273	571.406357	369.050141	417.0828077	540.1098577	499.8526413	517.1589897	473.7746553
ABTB2	549.5520606	496.9421106	252.4708993	171.499961	197.9218991	122.5483162	232.713076	164.5965871	314.8779486	194.3259244	183.0725184	171.2308983	190.0360474	184.597546	1909.347288	146.9981605	189.5677923	2583.490253	157.1130648	196.300577	1689.053866	640.8637839
ACAA1	561.414313	621.2600035	747.9521333	710.2118677	1349.225244	540.0848581	464.9729614	954.5129558	715.4469138	744.3382642	695.2901543	477.5414535	1130.489313	1038.763373	596.6132039	526.3636506	729.914183	769.0419015	794.1965112	731.3377269	2392.998131	1433.457544
ACAA2	11.65755142	41.50767031	81.65650077	432.8107099	292.6695631	98.55965282	1098.601233	61.87372226	777.8904353	834.8784792	1059.920016	1785.139459	495.900399	3374.759301	162.3986799	1796.242921	2889.242506	275.2219935	1517.780201	1109.382815	111.6714467	20.21085861
ACACA	23.07158562	18.93516084	54.17803335	61.43856614	60.22893457	11.64619348	87.27780178	69.36456807	26.4348857	66.29423232	75.37383703	79.08543168	68.77253134	90.78243367	178.4812328	89.29505406	127.2718458	57.79273077	468.4208998	418.2750008	37.82494899	22.55539558
ACACB	174.4389829	133.2561552	137.3415769	227.3731724	478.2459364	242.6067152	119.051603	175.2535919	72.80161027	148.967808	157.3196683	86.48935115	111.1610224	106.4440305	80.80993141	122.7467978	121.7821518	70.55531085	83.54317669	48.89579805	833.1140105	144.0692585
ACAD10	209.0803898	180.2829423	149.8210195	137.4783923	416.2601584	164.8357526	141.8478794	202.2436795	647.7270206	175.264297	71.67339995	78.59525306	115.9447261	113.4662728	340.131555	316.407394	150.1103861	160.7923402	237.2756645	275.7228296	220.7247581	259.5901335
ACAD8	476.3438281	528.3595898	610.5494813	619.610855	501.2379461	468.6692892	432.0519529	477.2071919	407.4027017	442.0325723	486.7567828	495.3194646	376.2070645	357.5337433	289.6932704	539.4686445	430.8447702	298.0197274	489.5114364	423.3424896	714.2703853	349.8295942
ACADL	87.16147336	83.61735712	17.07490567	37.26551546	39.40233145	44.27072755	13.9469182	31.75264764	86.49136941	56.16189796	46.47303762	47.02936831	21.89336994	25.85857379	33.11414254	20.6624375	11.94311743	34.99543292	42.83293502	32.22025063	44.88326619	60.35052228
ACADM	1113.040959	2062.249127	1683.675398	1233.592809	615.3332795	1019.767442	2459.096418	848.2305488	197.4904655	1128.319733	940.6149973	1126.645717	724.187649	1548.917996	678.5428618	863.7492251	968.9812269	617.1569349	1362.655656	1150.478616	361.1899975	129.8279408
ACADS	141.5446429	213.4191198	305.2003396	216.6851327	293.1136201	216.8529337	186.0631285	251.8308184	454.6348723	503.3538848	318.6729109	230.07536	229.8816436	266.9498003	309.097988	271.246673	254.9865583	252.8156475	231.7517072	139.9217466	270.708491	280.2562709
ACADSB	125.272709	93.76628394	76.39326014	95.45986424	158.6860471	132.2780104	227.7664271	151.4393717	70.27780821	88.22717078	89.31775042	77.64609362	58.92818727	123.6589704	98.02150804	117.1511345	123.7299988	89.37329987	104.6882325	108.8662717	125.2309181	46.93987049
ACADVL	2340.674986	2253.583369	7243.345992	2127.323546	2401.617562	1575.591992	2013.42755	2027.803005	3983.071656	1909.854026	2044.785798	2177.794994	2879.908467	3684.381892	1442.309654	2690.021108	4005.641046	2768.464477	2031.884376	2469.44979	2319.616044	1384.731196
ACAN	193.2963626	132.5238587	139.1010495	150.2904931	146.4600699	125.272709	125.623146	199.2304524	101.7559033	133.7280071	125.0280584	140.1193781	171.0682222	174.1767055	199.8651319	157.8118699	172.0149584	200.9825082	160.1813082	164.6640635	355.3970653	368.3958728
ACAP1	215.3059512	321.6210208	38.61687228	1055.613378	1790.09717	922.1527467	340.8834245	1107.798265	1995.482601	280.0757192	512.636909	387.5817422	190.8790244	48.97221651	30.97425375	23.05515036	61.38654966	26.41292251	104.2001984	73.60793243	696.4428018	596.0259609
ACAP2	1671.868615	1392.498393	611.4845011	1347.554859	1167.484938	1613.754719	747.9521333	749.9588123	290.7562498	1803.686187	1045.710672	799.634157	1899.40408	1044.957505	629.4577587	1047.782168	1372.205772	801.6311937	967.5870095	582.851179	1418.397798	2241.523017
ACAT1	295.7930403	1129.898553	2366.007779	1062.923578	822.1072308	1204.219255	2134.91881	491.8831781	463.8942301	1042.98461	539.2455282	569.6198316	781.1769995	2019.878266	906.7372524	1092.312168	1034.557487	802.8239608	1619.797307	1355.89552	319.1636442	94.27406089
ACAT2	576.2877306	594.3221409	380.1000824	528.6195693	614.3683925	667.337431	1355.868386	785.5941764	538.6276341	654.8010079	696.2057741	1439.227966	388.1112029	1760.050638	326.6717012	397.5358513	988.8700797	823.4310882	647.4610746	588.5731793	507.4122803	571.2789915
ACBD3	1295.811294	1031.361912	2019.936149	532.1867131	511.8974922	643.4014759	488.4810139	419.1355496	347.2670219	439.9021982	528.5915268	658.6202424	815.1055721	1012.56011	545.5405679	547.0988401	616.5943352	611.0638623	564.903451	630.1821219	629.3415881	574.3568459
ACBD4	124.4135242	81.30724747	422.0969298	303.8363194	420.6601251	203.1489774	143.3705415	265.0884262	675.4943843	247.6339969	213.3876727	183.2450446	164.375008	52.05109687	320.6082051	291.824541	48.88951359	106.1782743	204.6062981	50.9931057	250.4967195	119.7875046
ACCN1	66.39275175	49.61457159	79.77497227	15.6401507	19.72731308	26.91445741	25.79852882	12.28113965	102.838198	99.7425009	19.1038204	13.50066477	21.38558912	17.86478218	21.6232045	25.23626149	20.77173732	22.44096625	17.63116501	31.23364153	28.55070145	75.7773266
ACCN2	375.5472666	245.874301	158.331465	121.0906387	76.85048537	98.18855945	114.6025263	48.55417359	375.6733377	92.05212881	93.5656393	72.84548081	40.85114338	51.24011455	86.1812316	28.15146387	156.5569078	168.872624	71.84091501	52.72708373	65.31553799	229.3994078
ACCN3	667.8673604	440.7308295	262.8976388	188.852001	275.1324954	157.5298559	155.551421	216.1190186	201.2045091	361.7161157	137.0691087	123.7463123	256.4549456	228.3468665	106.7699669	191.888394	202.4535175	197.047192	207.8296466	175.3050623	279.6655714	400.7706316
ACCN4	36.87140683	45.85076994	42.78699774	71.29757938	34.19963384	16.15091924	18.2008225	29.6256784	61.81687906	59.65471736	69.78848057	41.21600403	55.3257524	38.00245036	62.64332161	24.81718933	76.00696654	93.85444723	124.9250024	73.59044398	44.13178952	85.86771393
ACD	53.28186176	201.6246351	68.18067906	519.9941551	584.8237162	589.1672724	857.1673355	822.8406808	333.0046921	550.2512601	482.8070151	778.8475236	236.0401288	113.4846088	350.4012375	223.917252	81.80220757	222.6029399	422.9957047	554.9767859	350.5041043	269.1742435
ACE	14.67304245	14.52035256	35.31282708	38.48649403	45.61964119	76.0826143	27.48099473	19.06302656	22.43854018	18.43760113	21.06741162	16.37238374	25.3378445	150.9283792	115.8956574	638.2713237	337.2802142	98.64297443	16.96414685	29.56586901	21.50630748	30.88985256
ACE2	120.6402118	119.2987629	63.19960659	50.45441973	30.94941671	62.47198947	42.49659569	89.33467617	70.87213887	56.88042773	22.22666698	42.12560625	41.65653157	29.33589784	42.03948876	38.93185048	37.84246874	39.36166755	43.85821814	31.9479885	68.187397	109.5876714
